Individual Test Solutions,Remote Testing,Adaptive/IRT,Test Type,Description,Job Level,Language,Assessment Length
[Oracle DBA (Entry Level) (New)](https://www.shl.com/solutions/products/product-catalog/view/oracle-dba-entry-level-new/),Yes,No,K,"Multi-choice test that measures the knowledge of Oracle database architecture, data management, backup and recovery, and MySQL administration.","Mid-Professional, Professional Individual Contributor",English (USA),12 minutes
[Oracle PL/SQL (New)](https://www.shl.com/solutions/products/product-catalog/view/oracle-plsql-new/),Yes,No,K,"Multi-choice test that measures the knowledge of SQL queries, relational database concepts and specific Oracle PL/SQL features.","Mid-Professional, Professional Individual Contributor",English (USA),11 minutes
[Oracle WebLogic Server (New)](https://www.shl.com/solutions/products/product-catalog/view/oracle-weblogic-server-new/),Yes,No,K,"Multi-choice test that measures the knowledge of the concepts of WebLogic such as server installation, administration, node, logs manager, security and deployment.","Mid-Professional, Professional Individual Contributor",English (USA),7 minutes
[Organic Chemistry (New)](https://www.shl.com/solutions/products/product-catalog/view/organic-chemistry-new/),Yes,No,K,Multi-choice test that measures the knowledge of the basic concepts in organic chemistry.,"Graduate, Mid-Professional, Professional Individual Contributor",English (USA),10 minutes
[Paint Technology (New)](https://www.shl.com/solutions/products/product-catalog/view/paint-technology-new/),Yes,No,K,"Multi-choice test that measures the knowledge of paint raw materials and precursors, manufacture of different types of coatings, surface treatment and coating applications.","Professional Individual Contributor, Graduate, Mid-Professional",English (USA),7 minutes
[Pediatrics (New)](https://www.shl.com/solutions/products/product-catalog/view/pediatrics-new/),Yes,No,K,"Multi-choice test that measures the basic knowledge of pediatric diseases, their symptoms and the medicines administered to cure or prevent them.","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),5 minutes
[Pega Development (New)](https://www.shl.com/solutions/products/product-catalog/view/pega-development-new/),Yes,No,K,"Multi-choice test that measures the knowledge of Pega architecture, user interface, rule and user management, case management, integration with external systems, frameworks, applications and performance.","Mid-Professional, Professional Individual Contributor",English (USA),17 minutes
[Perl (New)](https://www.shl.com/solutions/products/product-catalog/view/perl-new/),Yes,No,K,"Multi-choice test that measures the knowledge of Perl scripting used for text manipulation, web development, system administration, etc.","Mid-Professional, Professional Individual Contributor",English (USA),9 minutes
[Petrochemical Engineering (New)](https://www.shl.com/solutions/products/product-catalog/view/petrochemical-engineering-new/),Yes,No,K,"Multi-choice test that measures the knowledge of fluid and thermal principles of petrochemical engineering, chemical processes, petroleum composition and processing.","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),7 minutes
[Petroleum Engineering (New)](https://www.shl.com/solutions/products/product-catalog/view/petroleum-engineering-new/),Yes,No,K,"Multi-choice test that measures the knowledge of petroleum engineering, drilling and production operations and offshore petroleum production.","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),10 minutes
[Pharmaceutical Analysis (New)](https://www.shl.com/solutions/products/product-catalog/view/pharmaceutical-analysis-new/),Yes,No,K,"Multi-choice test that measures the knowledge of laboratory analytical techniques such as chromatography, titration, spectroscopy, and spectrophotometry.","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),12 minutes
[Search Engine Optimization (New)](https://www.shl.com/solutions/products/product-catalog/view/search-engine-optimization-new/),Yes,No,K,"Multi-choice test that measures the knowledge on the concepts of need of SEO, SEO planning, SEO strategies, SEO software, tools and exchanging links.","Graduate, Mid-Professional, Professional Individual Contributor",English (USA),12 minutes
[Selenium (New)](https://www.shl.com/solutions/products/product-catalog/view/selenium-new/),Yes,No,K,Not found,Not found,Not found,Not found
[Shell Scripting (New)](https://www.shl.com/solutions/products/product-catalog/view/shell-scripting-new/),Yes,No,K,"Multi-choice test that measures the knowledge of Shell scripting to perform operations such as file manipulation, program execution and printing text.","Mid-Professional, Professional Individual Contributor",English (USA),10 minutes
[SHL Verify Interactive - Inductive Reasoning](https://www.shl.com/solutions/products/product-catalog/view/shl-verify-interactive-inductive-reasoning/),Yes,Yes,A S,Evaluates ability to identify specific patterns in data or situations and generalize that information to broader contexts.,"Professional Individual Contributor, Graduate, Manager, Mid-Professional","Korean, Japanese, Thai, Portuguese (Brazil), Portuguese, Chinese Traditional, Indonesian, Russian, Romanian, Polish, Greek, Latin American Spanish, English International, Arabic, Hungarian, Czech, French (Canada), Slovak, Serbian, Turkish, Spanish, Danish, Estonian, Finnish, Latvian, Lithuanian, Norwegian, Swedish, French, German, Italian, Dutch, Chinese Simplified, English (USA)",20 minutes
[SHL Verify Interactive – Deductive Reasoning](https://www.shl.com/solutions/products/product-catalog/view/shl-verify-interactive-deductive-reasoning/),Yes,Yes,A S,"Measures the ability to draw logical conclusions based on information provided, identify strengths and weaknesses of arguments, and complete scenarios using incomplete information.","Graduate, Manager, Mid-Professional, Professional Individual Contributor","Chinese Traditional, Romanian, Turkish, Polish, Greek, Latin American Spanish, Portuguese (Brazil), Japanese, Hungarian, Czech, French (Canada), Slovak, Serbian, English International, English (USA), German, Italian, Indonesian, Korean, Russian, Arabic, Danish, Finnish, Norwegian, Swedish, Estonian, Latvian, Lithuanian, French, Dutch, Chinese Simplified, Spanish, Portuguese",20 minutes
[SHL Verify Interactive – Numerical Reasoning](https://www.shl.com/solutions/products/product-catalog/view/shl-verify-interactive-numerical-reasoning/),Yes,Yes,A S,Assesses how the candidate comprehends numerical information in various formats.,"Graduate, Manager, Mid-Professional, Professional Individual Contributor","French, German, Italian, Dutch, Chinese Simplified, Danish, Finnish, Norwegian, Swedish, Estonian, Latvian, Lithuanian, English International, English (USA), Czech, Polish, Latin American Spanish, Spanish, Thai, Japanese, Korean, Portuguese, Portuguese (Brazil), Chinese Traditional, Hungarian, Indonesian, Russian, Romanian, Turkish, French (Canada), Greek, Slovak, Serbian, Arabic",20 minutes
[SHL Verify Interactive G+](https://www.shl.com/solutions/products/product-catalog/view/shl-verify-interactive-g/),Yes,Yes,A,"SHL Verify Interactive G+ (SVIG+) is a test of general cognitive ability that also generates accurate assessments of three specific abilities: Deductive Reasoning, Inductive Reasoning, and Numerical Reasoning. The candidate will see questions measuring all three abilities. Candidates will receive a score on each of the specific abilities as well as a general ability score. This test is appropriate for all job levels, however it is most relevant for positions that require cognitive ability across a range of specific skills. 
Completion time is 36 minutes for the test itself, plus 10 minutes for instructions and practice.","Graduate, Manager, Mid-Professional, Professional Individual Contributor","English (USA), Chinese Traditional, Korean, Serbian, Slovak, Spanish, English International, Danish, Swedish, Norwegian, Finnish, Latvian, Lithuanian, Estonian, Portuguese, Hungarian, Thai, Czech, Polish, Turkish, Portuguese (Brazil), Romanian, Latin American Spanish, Italian, French (Canada), Chinese Simplified, Dutch, German, French, Russian, Indonesian, Greek, Japanese",36 minutes
[SHL Verify Interactive Numerical Calculation](https://www.shl.com/solutions/products/product-catalog/view/shl-verify-interactive-numerical-calculation/),Yes,Yes,A,Not found,Not found,Not found,Not found
[Siebel Development (New)](https://www.shl.com/solutions/products/product-catalog/view/siebel-development-new/),Yes,No,K,"Multi-choice test that measures the knowledge of Siebel basics, architecture server administration, access control, Siebel client and web applications, Siebel models, data mapping, workflow and deployment.","Mid-Professional, Professional Individual Contributor",English (USA),8 minutes
[Smart Interview Live](https://www.shl.com/solutions/products/product-catalog/view/smart-interview-live/),Yes,No,P,"SHL Live Video Interview is areal-timevideo interview tool. It allows recruiters and line managers to remotely engage with candidates and reach hiring decisions faster. 
Delight shortlisted candidates with a face2face digital interview that goes way beyond a conference call. Interact with whiteboards, instant file-sharing, draw from an expertly-curated question bank and provide a remote end-to-end interview experience that increases your chance of conversion.Language AvailabilityThe Candidate and Assessor interface is available in US English, Japanese, Simplified Chinese, Castilian Spanish, Portuguese, Brazilian Portuguese, French, Canadian French, Italian, Dutch, Latin American Spanish, Romanian, Indonesian, German, Arabic, Greek. 
The Admin interface is available in US English and Simplified Chinese (CN server).","Entry-Level, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor",English (USA),Not found
[Smart Interview Live Coding](https://www.shl.com/solutions/products/product-catalog/view/smart-interview-live-coding/),Yes,No,K,"Smart Interview Live Coding is a real-time online coding interview, with a compiler interface. It enables one-to-one, panel and group interviews. Use Smart Interview Live Coding to comprehensively evaluate candidates’ skills across various technical roles and hire the best coding talent.The language availability for the candidate and interviewer interface is English (US), Simplified Chinese, Castilian Spanish, Japanese. Please note that the questions themselves are available as standard in US English only.The language availability for the admin interface is US English only.","Graduate, Manager, Mid-Professional, Professional Individual Contributor, Entry-Level",English (USA),Not found
[Smart Interview On Demand](https://www.shl.com/solutions/products/product-catalog/view/smart-interview-on-demand/),Yes,No,P,"Smart Interview On Demand is arecorded(asynchronous) video interview tool, that introduces you to each person behind the resume with a short-recorded video of them explaining why they would be an awesome addition to your team. A streamlined, minimum bias screening to ensure you shortlist top talent faster and find those hidden gems you may have otherwise missed.AvailabilityTheadministrator and evaluator interfaceis available in US English and Simplified Chinese only, as are the standard question banks.  However, custom questions can be added or recorded in any language.Theparticipant interfaceis available in: Arabic, Brazilian Portuguese, Bulgarian, Canadian French, Chinese, Croatian, Czech, Danish, Dutch, Dutch (Belgium), Estonian, Finnish, French, German, Greek, Hindi, Hungarian, Italian, Indonesian, Japanese, Korean, Latvian, Lithuanian, Malaysian, Mexican Spanish, Norwegian, Polish, Portuguese, Romanian, Russian, Serbian, Slovak, Slovenian, Spanish, Swedish, Taiwanese Chinese, Thai, Turkish, UK English, Ukrainian, US English, Vietnamese.Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility.
Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/","Entry-Level, Supervisor, Manager, Front Line Manager, General Population, Graduate, Mid-Professional, Professional Individual Contributor","English (USA), Chinese Simplified",Not found
[Social Media (New)](https://www.shl.com/solutions/products/product-catalog/view/social-media-new/),Yes,No,K,Multi-choice test that measures the knowledge about the different social media platforms.,"Entry-Level, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor",English (USA),10 minutes
[Software Business Analysis](https://www.shl.com/solutions/products/product-catalog/view/software-business-analysis/),Yes,Yes,K,"The Software Business Analysis test measures ability to acquire and understand business requirements for an IT project, develop technical assets in support of that project, and execute such a project in an optimal strategic manner. Designed for senior-level technical professionals, this test covers the following topics: Business Process, Diagramming and Modeling, Documentation, Joint Application Development, Methodologies and Tools, Project Development, Requirements Gathering, System Design, and User Interface.","Mid-Professional, Professional Individual Contributor",English (USA),30 minutes
[SonarQube (New)](https://www.shl.com/solutions/products/product-catalog/view/sonarqube-new/),Yes,No,K,"Multi-choice test that measures the knowledge of SonarQube, integration tests, Sonar symbols, wildcards, quality cover and Sonar architecture.","Mid-Professional, Professional Individual Contributor",English (USA),Not found
[Spelling (U.S.) (New)](https://www.shl.com/solutions/products/product-catalog/view/spelling-u-s-new/),Yes,No,K,Multi-choice test that measures the knowledge of correct spellings in English and the ability to identify spelling errors in sentences.,Entry-Level,English (USA),0 minutes
[Split Screen Typing Test - Form 1](https://www.shl.com/solutions/products/product-catalog/view/split-screen-typing-test-form-1/),Yes,No,A K,"This test measures speed and accuracy in typing text presented on the computer screen. In this assessment, the text original is displayed directly above the area in which the test taker must enter the response. The test taker will not need a printed original for the evaluation. This test calculates a score based on the total number of keystrokes, time taken, and number of errors made when typing six passages. This Split Screen Typing Test uses the following method to determine the Net Words Per Minute score: Net Words Per Minute = ((Gross Words Per Minute * Time Taken) - Total Errors) / Time Taken.",Entry-Level,"English (USA), English (Australia), English International",6 minutes
[Spring (New)](https://www.shl.com/solutions/products/product-catalog/view/spring-new/),Yes,No,K,"Multi-choice test that measures the knowledge of Spring core, AOP, IOC container and transactions.","Mid-Professional, Professional Individual Contributor",English (USA),9 minutes
[SQL (New)](https://www.shl.com/solutions/products/product-catalog/view/sql-new/),Yes,No,K,"Multi-choice test that measures the knowledge of SQL queries, data manipulation and transaction processing.","Mid-Professional, Professional Individual Contributor",English (USA),9 minutes
[SQL Server (New)](https://www.shl.com/solutions/products/product-catalog/view/sql-server-new/),Yes,No,K,"Multi-choice test that measures the knowledge of basic SQL queries, creating and altering tables, filtering, grouping, aggregation in SQL and querying multiple tables.","Mid-Professional, Professional Individual Contributor",English (USA),11 minutes
[SQL Server Analysis Services (SSAS) (New)](https://www.shl.com/solutions/products/product-catalog/view/sql-server-analysis-services-%28ssas%29-%28new%29/),Yes,No,K,"Multi-choice test that measures the knowledge of SSAS database, querying multidimensional analysis solutions, cube hierarchies, measures, dimensions, power BI, DAX, MDX, tabular model data access and security.","Mid-Professional, Professional Individual Contributor",English (USA),15 minutes
[SQL Server Integration Services (SSIS) (New)](https://www.shl.com/solutions/products/product-catalog/view/sql-server-integration-services-ssis-new/),Yes,No,K,"Multi-choice test that measures the knowledge of SSIS architecture, components, control flow, data flow, transformation, SQL server tasks, SSIS administration, debugging, logging, security deployment, performance, package scheduling, execution and configuration.","Mid-Professional, Professional Individual Contributor",English (USA),10 minutes
[SQL Server Reporting Services (SSRS) (New)](https://www.shl.com/solutions/products/product-catalog/view/sql-server-reporting-services-ssrs-new/),Yes,No,K,"Multi-choice test that measures the knowledge of SSRS architecture, report creation, formatting, calculations, creating matrix reports and charts, grouping, sorting, report parameters, report management and security.","Mid-Professional, Professional Individual Contributor",English (USA),10 minutes
[Statistical Analysis System (New)](https://www.shl.com/solutions/products/product-catalog/view/statistical-analysis-system-new/),Yes,No,K,Multi-choice test that measures the ability to use the SAS software for statistical analysis.,"Mid-Professional, Professional Individual Contributor",English (USA),11 minutes
[Struts (New)](https://www.shl.com/solutions/products/product-catalog/view/struts-new/),Yes,No,K,"Multi-choice test that measures the knowledge of Struts framework, configuration, validations, actions and interceptors.","Mid-Professional, Professional Individual Contributor",English (USA),5 minutes
[SVAR - Spoken English (AUS)](https://www.shl.com/solutions/products/product-catalog/view/svar-spoken-english-aus/),Yes,No,S,"An automated spoken English test that measures fluency, pronunciation, active listening, vocabulary, grammar and spoken English understanding.Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility.
Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/",Entry-Level,English (USA),Not found
[SVAR - Spoken English (Indian Accent)  (New)](https://www.shl.com/solutions/products/product-catalog/view/svar-spoken-english-indian-accent-new/),Yes,No,S,"An automated spoken English test that measures fluency, pronunciation, active listening, vocabulary, grammar and spoken English understanding.Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility.
Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/",Entry-Level,English (USA),Not found
[SVAR - Spoken English (U.K.)](https://www.shl.com/solutions/products/product-catalog/view/svar-spoken-english-u-k/),Yes,No,S,"An automated spoken English test that measures fluency, pronunciation, active listening, vocabulary, grammar and spoken English understanding.Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility.
Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/",Entry-Level,English International,Not found
[SVAR - Spoken English (US)  (New)](https://www.shl.com/solutions/products/product-catalog/view/svar-spoken-english-us-new/),Yes,No,S,"An automated spoken English test that measures fluency, pronunciation, active listening, vocabulary, grammar and spoken English understanding.Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility.
Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/",Entry-Level,English (USA),Not found
[SVAR - Spoken French (Canadian) (New)](https://www.shl.com/solutions/products/product-catalog/view/svar-spoken-french-canadian-new/),Yes,No,S,"Test automatisé de français parlé qui évalue l'aisance, la prononciation, l'écoute active, le vocabulaire, la grammaire, et la compréhension du français parlé.Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility.
Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/",Entry-Level,French (Canada),Not found
[SVAR - Spoken French (European) (New)](https://www.shl.com/solutions/products/product-catalog/view/svar-spoken-french-european-new/),Yes,No,S,"Test automatisé de français parlé qui évalue l'aisance, la prononciation, l'écoute active, le vocabulaire, la grammaire, et la compréhension du français parlé.Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility.
Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/",Entry-Level,French,Not found
[SVAR - Spoken Spanish (Castilian) (New)](https://www.shl.com/solutions/products/product-catalog/view/svar-spoken-spanish-castilian-new/),Yes,No,S,"Test automatizado de español oral que mide la fluidez, la pronunciación, la escucha activa, el vocabulario, la gramática y la comprensión oral del español.Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility.
Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/",Entry-Level,Spanish,Not found
[SVAR - Spoken Spanish (North American) (New)](https://www.shl.com/solutions/products/product-catalog/view/svar-spoken-spanish-north-american-new/),Yes,No,S,"Test automatizado de español oral que mide la fluidez, la pronunciación, la escucha activa, el vocabulario, la gramática y la comprensión oral del español.Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility.
Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/",Entry-Level,Latin American Spanish,Not found
[Swing (New)](https://www.shl.com/solutions/products/product-catalog/view/swing-new/),Yes,No,K,"Multi-choice test that measures the knowledge of components, containers, layouts and event handling in Swing.","Mid-Professional, Professional Individual Contributor",English (USA),4 minutes
[Tableau (New)](https://www.shl.com/solutions/products/product-catalog/view/tableau-new/),Yes,No,K,"Multi-choice test that measures the knowledge of how to use Tableau to prepare tables, create visualizations, perform calculations, apply filters and carry out forecasting.","Mid-Professional, Professional Individual Contributor",English (USA),8 minutes
[Telecommunications Engineering (New)](https://www.shl.com/solutions/products/product-catalog/view/telecommunications-engineering-new/),Yes,No,K,"Multi-choice test that measures the knowledge of analog communication, digital communication, electromagnetism and microwave engineering.","Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor",English (USA),7 minutes
[Teradata Development (New)](https://www.shl.com/solutions/products/product-catalog/view/teradata-development-new/),Yes,No,K,"Multi-choice test that measures the knowledge on Teradata concepts of RDBMS components, performance availability features, utilities, workload management, basic extensions, logical expressions, subqueries, SQL optimization, physical database design, table partitioning, query analysis and indexes.","Mid-Professional, Professional Individual Contributor",English (USA),9 minutes
[Time Management (U.S.)](https://www.shl.com/solutions/products/product-catalog/view/time-management-u-s/),Yes,Yes,K,"This is an adaptive test that measures the candidate's knowledge of how to use time wisely in the workplace. It is designed for the average business worker and covers the following topics: Action Plans, Controlling, Decision Making, Organizing, Planning, Scheduling, Time Usage, and Time Wasters.","Entry-Level, Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor",English (USA),15 minutes
[Training Development](https://www.shl.com/solutions/products/product-catalog/view/training-development/),Yes,Yes,K,"The Training Development test measures knowledge of developing and delivering training programs. Designed for experienced trainers, this test covers the following topics: Analysis Methods, Audience Analysis, Design Materials, Design Strategy, Developing Instructional Materials, General Knowledge, Media, Project Management Plan, Purpose of Training, Training Delivery, and Writing Instructional Objectives.","Front Line Manager, Manager",English (USA),15 minutes
[Typing (New)](https://www.shl.com/solutions/products/product-catalog/view/typing-new/),Yes,No,S,Typing based test that evaluates typing speed and accuracy.,Entry-Level,English (USA),2 minutes
[UiPath RPA Development (New)](https://www.shl.com/solutions/products/product-catalog/view/uipath-rpa-development-new/),Yes,No,K,"Multi-choice test that measures the knowledge on UiPath architecture, workflows recording, UI interaction, automation, and orchestrator.","Mid-Professional, Professional Individual Contributor",English (USA),8 minutes
[Universal Competency Framework Interview Guide](https://www.shl.com/solutions/products/product-catalog/view/universal-competency-framework-interview-guide/),Yes,No,C P,"The UCF Interview Guide provides a structured way of gathering information about each candidate and their competency potential across the 20 UCF Dimensions.

NOTE: Simplified Chinese Guide is available from local office; Portuguese Guide is available from Distributor","Director, Entry-Level, Executive, Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor","English International, Swedish, German, Finnish",Not found
[Universal Competency Framework Job profiling guide](https://www.shl.com/solutions/products/product-catalog/view/universal-competency-framework-job-profiling-guide/),Yes,No,C P,"The SHL Universal Competency Framework establishes a common language for competencies that underpins SHL’s products and services. It is a single underlying construct framework that provides a rational, consistent and practical basis for the purpose of understanding people’s behaviours at work and the likelihood of being able to succeed in a given role and in a given environment","Director, Entry-Level, Executive, Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor","English International, Portuguese",Not found
[Universal Competency Framework Profiler Cards (44)](https://www.shl.com/solutions/products/product-catalog/view/universal-competency-framework-profiler-cards-44/),Yes,No,C P,"The UCF sets out the key behaviours that drive performance using a standard, proven hierarchy that can be applied to virtually any job at any level, in any organisation around the world.","Director, Entry-Level, Executive, Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor","Portuguese (Brazil), Latin American Spanish, French, Chinese Simplified, Icelandic, Lithuanian, Danish, Dutch, English International, Finnish, German, Italian, Norwegian, Portuguese, Spanish, English (USA), Swedish",Not found
[UNIX (New)](https://www.shl.com/solutions/products/product-catalog/view/unix-new/),Yes,No,K,"Multi-choice test that measures the knowledge on the concepts of UNIX commands, file system, file handling, regular expression, awk programming and shell programming.","Mid-Professional, Professional Individual Contributor",English (USA),9 minutes
[VB.NET (New)](https://www.shl.com/solutions/products/product-catalog/view/vb-net-new/),Yes,No,K,"Multi-choice test that measures the knowledge on the concepts of VB.NET assemblies, OOPs concepts, ADO.NET, multithreading, exception handling and GUI.","Mid-Professional, Professional Individual Contributor",English (USA),10 minutes
[Verify - Deductive Reasoning](https://www.shl.com/solutions/products/product-catalog/view/verify-deductive-reasoning/),Yes,Yes,A,"The Verify Deductive Reasoning Test is an online ability assessment that can be used to support both pre- and post-hire assessment processes. It enables organisations to recruit and develop candidates applying for jobs at all levels that require deductive reasoning ability.

The Deductive Reasoning Test is a new test in the SHL Verify range of ability tests, and measures the ability to:
•	draw logical conclusions based on information provided
•	identify strengths and weaknesses of arguments
•	complete scenarios using incomplete information

The test is 18 minutes long, has 20 items and is designed to provide an indication of how an individual will perform when asked to develop solutions when presented with information and draw sound conclusions from data.  

This form of reasoning is commonly required to support work and decision-making in many different types of jobs and at many levels. Sample tasks for jobs that may require deductive reasoning include, but are not limited to:
•	evaluate arguments
•	analyse scenarios
•	draw logical conclusions","Director, Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor","Arabic, French (Canada), Portuguese (Brazil), Chinese Traditional, Chinese Simplified, Czech, Danish, Dutch, Finnish, French, German, Greek, Hungarian, Indonesian, English International, Italian, Japanese, Korean, Latin American Spanish, Polish, Portuguese, Romanian, Russian, Serbian, Slovak, Spanish, Swedish, Thai, Turkish, English (USA), Norwegian",20 minutes
[Verify - Following Instructions](https://www.shl.com/solutions/products/product-catalog/view/verify-following-instructions/),Yes,No,A,Not found,Not found,Not found,Not found
[Verify Interactive Process Monitoring](https://www.shl.com/solutions/products/product-catalog/view/verify-interactive-process-monitoring/),Yes,No,A,"The SHL Verify Range of Ability Tests is a suite of cognitive ability assessments appropriate for candidates at a wide range of job levels. The SHL Process Monitoring assessment is designed for candidates in a wide range of industries where following processes, ensuring vigilance and maintaining machinery are important aspects of the job role. It measures candidates' ability to respond in a timely manner to instrument feedback and monitor variations in a production process in order to maintain the process within specified safe control limits.","Graduate, Manager, Mid-Professional, Professional Individual Contributor",English (USA),18 minutes
[Virtual Assessment and Development Centers](https://www.shl.com/solutions/products/product-catalog/view/virtual-assessment-and-development-centers/),Yes,No,P,"SHL’s innovative virtual assessment centers wow new hires or existing employees and show how you invest in your people. They are a highly engaging experience, inclusive and packed with predictive power to undercover potential.

SHL’s virtual assessment and development center platform is packaged with features to support your candidates, assessors and center administrators.

Deliver a full range of assessment center exercises, from inbox simulations and written analysis, through coaching and role-play with preparation materials and one to one live virtual interactions, to assigned or unassigned role group exercises. Exercises are available across a range of job levels and industry scenarios

Want to find out more or book a demo? Visit https://www.shl.com/en/solutions/virtual/virtual-assessment-development-center/Language Availabilityfor the candidate and assessor simulation interface is shown in the list below.Language Availabilityfor the live interactions interface (Smart Interview Live) is currently:  English US, Japanese, Simplified Chinese, Spanish, Portuguese, Brazilian Portuguese, French, Canadian French, Italian, Dutch, Latin American Spanish, Romanian, Indonesian, German, Greek.","Director, Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor","English (USA), English International, Italian, German, Portuguese, Spanish, Latin American Spanish, French, French (Canada), Dutch, Japanese, Indonesian, Greek, Romanian, Chinese Simplified, Arabic",Not found
[Visual Basic for Applications (New)](https://www.shl.com/solutions/products/product-catalog/view/visual-basic-for-applications-new/),Yes,No,K,"Multi-choice test that measures the knowledge of VBA programming constructs, forms, controls and VBA security.","Mid-Professional, Professional Individual Contributor",English (USA),7 minutes
[Visual Comparison - UK](https://www.shl.com/solutions/products/product-catalog/view/visual-comparison-uk/),Yes,No,K,This assessment measures ability to efficiently compare information and detect errors. The test taker is required to examine four pairs of numbers and select the set of numbers that are notidentical.,Entry-Level,English International,5 minutes
[Visual Comparison - US](https://www.shl.com/solutions/products/product-catalog/view/visual-comparison-us/),Yes,No,K,This assessment measures ability to efficiently compare information and detect errors. The test taker is required to examine four pairs of numbers and select the set of numbers that are not identical.,Entry-Level,English (USA),5 minutes
[VLSI and Embedded Systems (New)](https://www.shl.com/solutions/products/product-catalog/view/vlsi-and-embedded-systems-new/),Yes,No,K,Multi-choice test that measures the knowledge of VLSI and embedded systems basics.,"Mid-Professional, Professional Individual Contributor",English (USA),9 minutes
[What Is The Value - US](https://www.shl.com/solutions/products/product-catalog/view/what-is-the-value-us/),Yes,Yes,K,The What is the Value –US test measures money handling ability. This test is designed for entry-level positions where handling money is required on a regular basis.,Entry-Level,English (USA),5 minutes
[Workplace Administration Skills (New)](https://www.shl.com/solutions/products/product-catalog/view/workplace-administration-skills-new/),Yes,No,K,"Multi-choice test that measures the ability to organize one's workplace, properly maintain data, perform simple tasks on the computer and resolve administrative issues.","Manager, Mid-Professional, Professional Individual Contributor, Supervisor",English (USA),12 minutes
[Workplace Health and Safety (New)](https://www.shl.com/solutions/products/product-catalog/view/workplace-health-and-safety-new/),Yes,No,K,"Multi-choice test that measures the knowledge of first aid, emergency safety measures, cleanliness and personal hygiene.","Entry-Level, Graduate, Manager, Supervisor, Mid-Professional, Professional Individual Contributor",English (USA),9 minutes
[WriteX - Email Writing (Customer Service) (New)](https://www.shl.com/solutions/products/product-catalog/view/writex-email-writing-customer-service-new/),Yes,No,S,"Open response test that evaluates the ability to write proper emails in English. The test provides scores on content, grammar and email etiquette.Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility.
Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/","Entry-Level, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor",English (USA),15 minutes
[WriteX - Email Writing (Managerial) (New)](https://www.shl.com/solutions/products/product-catalog/view/writex-email-writing-managerial-new/),Yes,No,S,"Open response test that evaluates the ability to write proper emails in English. The test provides scores on content, grammar and email etiquette.Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility.
Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/","Entry-Level, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor",English (USA),15 minutes
